"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.679922083E-1,5.792055359E0,-4.436174927E0,3.593577118E0,8.132733228E0
6.779772083E-1,6.332731018E0,-4.139641571E0,3.650009766E0,8.400159866E0
6.879622083E-1,6.739285583E0,-4.052073669E0,3.100352783E0,8.452778157E0
6.979472083E-1,7.378007355E0,-4.139342194E0,2.276316376E0,8.760751256E0
7.079322083E-1,8.165968781E0,-4.374203796E0,1.862576752E0,9.449121501E0
7.179172083E-1,9.214687958E0,-4.711302795E0,2.226769409E0,1.058609230E1
7.279022083E-1,9.757758636E0,-4.944368134E0,3.159330139E0,1.138604395E1
7.378872083E-1,1.013856674E1,-5.200934601E0,4.393064575E0,1.221225911E1
7.478722083E-1,1.038944504E1,-5.485941925E0,5.358407135E0,1.291311945E1
7.578572083E-1,1.048764084E1,-5.436694336E0,5.935457153E0,1.322035957E1
7.678422083E-1,1.093042007E1,-5.299130402E0,6.072122955E0,1.358033664E1
7.778272083E-1,1.143023071E1,-5.350174255E0,5.803731079E0,1.389092629E1
7.878122083E-1,1.176523407E1,-5.528453522E0,5.351222076E0,1.405774195E1
7.977972083E-1,1.224019638E1,-6.036946106E0,4.913981323E0,1.450566573E1
8.077822083E-1,1.272024811E1,-6.489604797E0,4.661306763E0,1.502156660E1
8.177672083E-1,1.306288559E1,-6.651717682E0,4.374652863E0,1.529777486E1
8.277522083E-1,1.328038330E1,-6.818770294E0,4.037853241E0,1.546507251E1
8.377372083E-1,1.338800949E1,-7.125482483E0,3.766018524E0,1.562671412E1
8.477222083E-1,1.351868774E1,-7.550598450E0,3.614533539E0,1.590067005E1
8.577072083E-1,1.375818970E1,-8.187374268E0,3.595672760E0,1.640883127E1
8.676922083E-1,1.425216248E1,-8.641978912E0,3.655997314E0,1.706382874E1
8.776772083E-1,1.520328461E1,-9.257648621E0,3.632795563E0,1.816703400E1
8.876622083E-1,1.672157730E1,-1.065349594E1,3.358565826E0,2.010940297E1
8.976472083E-1,1.825019852E1,-1.279928375E1,3.116519165E0,2.250786756E1
9.076322083E-1,1.932316727E1,-1.520597900E1,3.515289917E0,2.483875709E1
9.176172083E-1,1.988390121E1,-1.699416046E1,4.464765472E0,2.653497971E1
9.276022083E-1,1.995620087E1,-1.729922607E1,5.504653015E0,2.697803515E1
9.375872083E-1,1.953901840E1,-1.577359863E1,6.281537476E0,2.588508001E1
9.475722083E-1,1.848012039E1,-1.273177414E1,6.645131378E0,2.340450156E1
9.575572083E-1,1.710717545E1,-9.340426483E0,6.644083557E0,2.059230111E1
9.675422083E-1,1.576761108E1,-6.183341675E0,6.490502930E0,1.813774798E1
9.775272083E-1,1.441876602E1,-3.647015991E0,6.358477478E0,1.617503555E1
9.875122083E-1,1.333007996E1,-2.159110107E0,6.448440399E0,1.496446363E1
9.974972083E-1,1.252131180E1,-1.387913818E0,6.592141571E0,1.421850500E1
1.007482208E0,1.181373322E1,-1.013991394E0,6.591542816E0,1.356616776E1
1.017467208E0,1.103849533E1,-9.105564880E-1,6.259383545E0,1.272231797E1
1.027452208E0,1.011087433E1,-9.011260986E-1,5.457052002E0,1.152480909E1
1.037437208E0,9.192683716E0,-1.203647003E0,4.353097687E0,1.024224875E1
1.047422208E0,8.327632599E0,-1.656605072E0,3.273692322E0,9.100047609E0
1.057407208E0,7.689958649E0,-2.162552948E0,2.347268829E0,8.325969627E0
1.067392208E0,7.313042450E0,-2.702929230E0,1.489851837E0,7.937636600E0
1.077377208E0,7.131470032E0,-3.101999359E0,8.428971863E-1,7.822451055E0
1.087362208E0,7.191195831E0,-3.457210693E0,4.285588074E-1,7.990573566E0
1.097347208E0,7.458839264E0,-3.829187164E0,7.589218140E-2,8.384671558E0
1.107332208E0,7.821235657E0,-4.096082153E0,-2.263293457E-1,8.831808489E0
1.117317208E0,8.452622681E0,-4.166884918E0,-3.216810608E-1,9.429381677E0
1.127303208E0,9.164093170E0,-4.353846130E0,-1.249900818E-1,1.014653647E1
1.137288208E0,9.969867554E0,-4.758454742E0,4.168830872E-1,1.105508671E1
1.147273208E0,1.071232361E1,-5.188061371E0,1.089883575E0,1.195230957E1
1.157258208E0,1.118608841E1,-5.523513794E0,1.560804291E0,1.257274388E1
1.167243208E0,1.141466309E1,-5.779481506E0,2.088606720E0,1.296376557E1
1.177228208E0,1.139445511E1,-5.802832947E0,2.709964600E0,1.307097493E1
1.187213208E0,1.128563141E1,-5.664670258E0,3.084485779E0,1.299876986E1
1.197198208E0,1.120749390E1,-5.684279480E0,3.201991425E0,1.296810324E1
1.207183208E0,1.101634140E1,-5.864504700E0,3.326233063E0,1.291572761E1
1.217168208E0,1.071546707E1,-6.103707275E0,3.497776337E0,1.281838197E1
1.227153208E0,1.043180695E1,-6.353986816E0,3.661535797E0,1.275157202E1
1.237138208E0,1.016296600E1,-6.687193909E0,3.800596619E0,1.274554726E1
1.247123208E0,9.874216461E0,-7.008276215E0,3.741319885E0,1.267334055E1
1.257108208E0,9.569599915E0,-7.340136108E0,3.629801788E0,1.259485219E1
1.267093208E0,9.338031464E0,-7.628735962E0,3.467539215E0,1.254672356E1
1.277078208E0,9.154962158E0,-7.965236206E0,3.335663452E0,1.258510908E1
1.287063208E0,8.786727905E0,-8.264613647E0,3.214864655E0,1.248382076E1
1.297048208E0,8.444240112E0,-8.481063538E0,3.051254883E0,1.235086176E1
1.307033208E0,8.142767029E0,-8.622369690E0,2.943928070E0,1.221951826E1
1.317018208E0,7.792645111E0,-8.568930817E0,2.884950714E0,1.193628224E1
1.327003208E0,7.456893311E0,-8.391849060E0,2.727777557E0,1.155288531E1
1.336989083E0,7.169341278E0,-8.236023102E0,2.469414825E0,1.119506769E1
1.346974083E0,6.917714539E0,-8.074059906E0,2.153421936E0,1.084815394E1
1.356959083E0,6.775959320E0,-7.932154999E0,1.908082123E0,1.060535172E1
1.366944083E0,6.677314453E0,-7.823780365E0,1.789678345E0,1.044035517E1
1.376929083E0,6.665638733E0,-7.786507874E0,1.699865112E0,1.038989827E1
1.386914083E0,6.755451965E0,-7.853568420E0,1.646575928E0,1.048932221E1
1.396899083E0,6.888375549E0,-8.061036987E0,1.511556702E0,1.071050133E1
1.406884083E0,6.926995239E0,-8.199349365E0,1.311572571E0,1.081354778E1
1.416869083E0,7.012766876E0,-8.308023376E0,1.083746338E0,1.092596256E1
1.426854083E0,7.183262329E0,-8.484356689E0,9.051676941E-1,1.115360456E1
1.436839083E0,7.211703186E0,-8.819659424E0,7.981402588E-1,1.142068663E1
1.446824083E0,7.153474274E0,-9.211694183E0,6.902146912E-1,1.168348836E1
1.456809083E0,7.101981354E0,-9.603130188E0,6.336323547E-1,1.196075828E1
1.466794083E0,6.889722748E0,-9.744436340E0,5.593867493E-1,1.194718514E1
1.476779083E0,6.664441223E0,-9.647887115E0,5.703140259E-1,1.173975130E1
1.486764083E0,6.643035736E0,-9.569749603E0,5.933660889E-1,1.166456663E1
1.496749083E0,7.178322601E0,-1.006596771E1,1.981878662E-1,1.236492215E1
1.506734083E0,7.718249817E0,-1.112890732E1,-2.240840149E-1,1.354526382E1
1.516719083E0,7.551646271E0,-1.216325638E1,-2.697390747E-1,1.431938987E1
1.526704083E0,7.495213623E0,-1.287173309E1,-1.576222229E-1,1.489579084E1
1.536689083E0,7.360643463E0,-1.342049194E1,-1.347198486E-3,1.530649137E1
1.546674083E0,6.399342499E0,-1.398796188E1,-7.065307617E-2,1.538244629E1
1.556659083E0,5.908962250E0,-1.209754303E1,1.291663971E0,1.352533837E1
1.566644083E0,5.648952942E0,-1.039363632E1,2.399809570E0,1.207051910E1
1.576629083E0,5.140460358E0,-8.924142151E0,2.644550629E0,1.063288737E1
1.586614083E0,4.480632477E0,-7.582332458E0,2.282453613E0,9.098210121E0
1.596599083E0,3.954776001E0,-6.545438690E0,1.882185974E0,7.875636159E0
1.606584083E0,4.036506042E0,-5.560037842E0,1.569486237E0,7.047743531E0
1.616569083E0,4.442461853E0,-4.868475952E0,1.363813934E0,6.730342774E0
1.626554083E0,4.876858521E0,-4.621040497E0,1.068627777E0,6.802920669E0
1.636539083E0,5.211263123E0,-4.729115753E0,6.300398254E-1,7.065320185E0
1.646524083E0,5.375471649E0,-5.061424713E0,8.607101440E-2,7.383842076E0
1.656509083E0,5.265600128E0,-5.416935425E0,-5.478607178E-1,7.574291087E0
1.666494083E0,4.950954437E0,-5.694907379E0,-1.289718018E0,7.655539985E0
1.676479083E0,4.898862762E0,-5.946833496E0,-2.050885162E0,7.973068101E0
1.686464083E0,5.035977631E0,-6.141578522E0,-2.665507050E0,8.377647955E0
1.696449083E0,5.179229736E0,-6.120322723E0,-2.920576630E0,8.533026354E0
1.706434083E0,5.324427795E0,-6.067632294E0,-2.893932037E0,8.575577860E0
1.716419083E0,5.310207367E0,-5.980663147E0,-2.625989227E0,8.417983926E0
1.726405083E0,5.210215302E0,-5.923781433E0,-2.210902405E0,8.193022605E0
1.736390083E0,5.090164948E0,-5.903423767E0,-1.788331146E0,7.997394554E0
1.746375083E0,4.959187317E0,-6.003415833E0,-1.175505524E0,7.875046269E0
1.756360083E0,4.640500031E0,-6.058351593E0,-4.026626587E-1,7.641989386E0
1.766345083E0,4.312681732E0,-6.041287079E0,3.210823059E-1,7.429634388E0
1.776330083E0,4.150568848E0,-6.004763031E0,9.319619751E-1,7.358869067E0
1.786315083E0,4.049978027E0,-5.936504974E0,1.399888916E0,7.321482248E0
1.796300083E0,4.046535187E0,-5.863456879E0,1.678908691E0,7.319378934E0
1.806285083E0,4.172124023E0,-5.800886993E0,1.792672119E0,7.366857003E0
1.816270083E0,4.364623718E0,-5.771997070E0,1.888472900E0,7.478784679E0
1.826255083E0,4.534969482E0,-5.792055359E0,1.845961304E0,7.584288142E0
1.836240083E0,4.669090576E0,-5.750142517E0,1.754351807E0,7.611983712E0
1.846225083E0,4.854854279E0,-5.707032166E0,1.682650909E0,7.679266911E0
1.856210083E0,5.207221527E0,-5.782175903E0,1.589245148E0,7.941940213E0
1.866195083E0,5.528603210E0,-5.877976685E0,1.444346466E0,8.197694803E0
1.876180083E0,5.777984619E0,-6.008355560E0,1.279988251E0,8.433493506E0
1.886165083E0,5.913602600E0,-6.211782532E0,1.117276611E0,8.649002541E0
1.896150083E0,5.991889801E0,-6.421047363E0,1.021326141E0,8.841702309E0
1.906135083E0,6.111491089E0,-6.495442657E0,9.217831421E-1,8.966090720E0
1.916120083E0,6.380182343E0,-6.355633392E0,8.538244629E-1,9.045983570E0
1.926105083E0,6.820267181E0,-6.107748871E0,9.159452820E-1,9.201064963E0
1.936090083E0,7.323520660E0,-5.845943298E0,1.021475830E0,9.426156204E0
