"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.445007084E-1,4.561614075E0,-7.331304474E0,1.091829529E0,8.703357971E0
6.545387085E-1,9.760003967E0,-8.202193451E0,2.204166412E0,1.293800620E1
6.645767083E-1,1.692485458E1,-9.501192169E0,5.139562225E0,2.007830808E1
6.746147084E-1,2.447665054E1,-1.128952332E1,1.023092468E1,2.883108701E1
6.846537085E-1,2.888318710E1,-1.331765579E1,1.633253632E1,3.575402349E1
6.946917085E-1,2.911939590E1,-1.625918884E1,2.073054062E1,3.926901774E1
7.047297084E-1,2.704710526E1,-1.953138428E1,2.286809555E1,4.044713424E1
7.147677084E-1,2.472618164E1,-2.108350662E1,2.459176117E1,4.075111075E1
7.248067085E-1,2.386577087E1,-2.143752045E1,2.483006561E1,4.056691337E1
7.348447083E-1,2.341880035E1,-2.154484726E1,2.291195435E1,3.921196635E1
7.448827084E-1,2.243579453E1,-2.182296890E1,2.009466293E1,3.719411682E1
7.549207085E-1,2.076167587E1,-2.248668869E1,1.803629333E1,3.552472703E1
7.649597083E-1,1.832923416E1,-2.329306183E1,1.635918091E1,3.385484241E1
7.749977084E-1,1.759785507E1,-2.421005493E1,1.561462921E1,3.375837538E1
7.850357085E-1,1.967837860E1,-2.407428726E1,1.765024612E1,3.575389601E1
7.950747085E-1,2.146371597E1,-2.181503540E1,2.115131561E1,3.720168041E1
8.051127084E-1,2.202654556E1,-1.897499130E1,2.269475601E1,3.688185129E1
8.151507084E-1,1.991398865E1,-1.575877945E1,2.124861328E1,3.311207695E1
8.251887085E-1,1.614497635E1,-1.244841339E1,1.758602966E1,2.692381282E1
8.352278334E-1,1.196611633E1,-9.519304504E0,1.301184174E1,2.007767725E1
8.452658334E-1,7.936795349E0,-7.245083771E0,8.590336304E0,1.375782821E1
8.553038335E-1,3.859124908E0,-4.430636444E0,5.802084503E0,8.257576457E0
8.653418333E-1,4.851411438E-1,-1.496138763E0,4.695136414E0,4.951575413E0
8.753808334E-1,-1.985471191E0,9.635462952E-1,4.705764313E0,5.197570113E0
8.854188335E-1,-3.509302368E0,2.498304749E0,4.988376617E0,6.590950691E0
8.954568335E-1,-4.425846405E0,3.435356140E0,5.257516937E0,7.683181148E0
9.054958334E-1,-4.944218445E0,4.551884308E0,5.148094482E0,8.465685063E0
9.155338334E-1,-5.054688721E0,5.276377716E0,4.418960724E0,8.539160014E0
9.255718335E-1,-5.181026001E0,5.096751251E0,3.205883331E0,7.943399252E0
9.356098333E-1,-6.811435547E0,3.922293549E0,1.146465912E0,7.943199921E0
9.456488334E-1,-1.023197250E1,2.498304749E-1,-2.219135284E0,1.047283333E1
9.556868335E-1,-1.356883347E1,-5.011428680E0,-5.679339752E0,1.553970910E1
9.657248335E-1,-1.433314407E1,-8.817414093E0,-8.101153564E0,1.867657622E1
9.757638334E-1,-1.076770844E1,-1.051593201E1,-9.082512817E0,1.757897636E1
9.858018334E-1,-3.745660858E0,-1.072639435E1,-8.408614197E0,1.413471980E1
9.958398335E-1,4.313579865E0,-1.025981461E1,-6.162684631E0,1.272200648E1
