"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.575595834E-1,-8.758287048E-1,6.079757080E0,8.492589569E0,1.048115450E1
6.675975833E-1,-9.488768005E-1,6.083349609E0,8.415350189E0,1.042715822E1
6.776365833E-1,-1.052910461E0,6.019133148E0,8.250542908E0,1.026693930E1
6.876745834E-1,-1.186582489E0,5.829477539E0,7.777825928E0,9.792107155E0
6.977125832E-1,-1.564097443E0,5.683830414E0,8.162226562E0,1.006847910E1
7.077505833E-1,-1.895657959E0,5.436694336E0,8.220605164E0,1.003640940E1
7.177895834E-1,-2.008822632E0,5.091212769E0,8.029602356E0,9.717526939E0
7.278275834E-1,-2.077529755E0,4.575834503E0,7.830216980E0,9.304122164E0
7.378655833E-1,-2.139650574E0,4.170178070E0,7.882458344E0,9.170694589E0
7.479035833E-1,-2.268382874E0,4.058360596E0,8.331075439E0,9.540580148E0
7.579415834E-1,-2.138003998E0,3.946842499E0,8.910969543E0,9.977675331E0
7.679805832E-1,-1.858385468E0,3.785627747E0,9.559121704E0,1.044803243E1
7.780185833E-1,-1.687141571E0,3.604654083E0,1.018826340E1,1.093803862E1
7.880565834E-1,-1.685794373E0,3.402125244E0,1.066606979E1,1.132172265E1
7.980945834E-1,-1.735191650E0,3.224594421E0,1.102202957E1,1.161438914E1
8.081325833E-1,-1.693727875E0,2.987936554E0,1.122845032E1,1.174200049E1
8.181715833E-1,-1.601669312E0,2.633773041E0,1.113354767E1,1.155240186E1
8.282095834E-1,-1.424437866E0,2.282752991E0,1.073612411E1,1.106816812E1
8.382475832E-1,-1.518592072E0,2.017205200E0,9.861343231E0,1.017945622E1
8.482855833E-1,-2.008672943E0,1.871258698E0,9.047785034E0,9.455093343E0
8.583245834E-1,-2.267335052E0,1.744023285E0,8.799301758E0,9.252574608E0
8.683625835E-1,-2.379900970E0,1.708247681E0,8.764723663E0,9.241342958E0
8.784005833E-1,-2.284249878E0,1.719773712E0,8.738528137E0,9.194416411E0
8.884385834E-1,-2.252066803E0,1.847607880E0,8.836873627E0,9.304611505E0
8.984765834E-1,-2.163451080E0,2.011966095E0,9.124575348E0,9.590954250E0
9.085155833E-1,-1.777254181E0,2.013612671E0,9.759255524E0,1.012207176E1
9.185535833E-1,-1.446741486E0,1.903142395E0,1.032058823E1,1.059384506E1
9.285915834E-1,-8.946894836E-1,1.627864838E0,1.052955368E1,1.069214262E1
9.386295835E-1,-2.832110596E-1,1.335373077E0,1.051488419E1,1.060312309E1
9.486685833E-1,1.911524963E-1,1.119521942E0,1.030681686E1,1.036920163E1
9.587065834E-1,4.031117249E-1,9.714797974E-1,9.956096191E0,1.001149956E1
9.687445834E-1,7.038363647E-1,8.542735291E-1,9.866432648E0,9.928326248E0
9.787825833E-1,1.169667664E0,7.812254333E-1,1.002210892E1,1.012033116E1
9.888205833E-1,1.393901367E0,7.861651611E-1,1.014859589E1,1.027399704E1
9.988595834E-1,1.462458801E0,8.819659424E-1,1.038016434E1,1.051971774E1
1.008897583E0,1.558259583E0,1.089135132E0,1.061307999E1,1.078201535E1
1.018935583E0,1.744172974E0,1.315763855E0,1.083566711E1,1.105373492E1
1.028973583E0,1.930685120E0,1.412163391E0,1.097353043E1,1.123121189E1
1.039012583E0,2.041754150E0,1.382375336E0,1.099718124E1,1.127021370E1
1.049050583E0,2.133213959E0,1.349892883E0,1.084449875E1,1.113444950E1
1.059088583E0,2.108066254E0,1.399888916E0,1.059466827E1,1.089268691E1
1.069126583E0,1.588945770E0,1.731299744E0,1.033735336E1,1.060108589E1
1.079164583E0,8.684939575E-1,2.202519836E0,1.003258713E1,1.030816084E1
1.089203583E0,3.209326172E-1,2.648891602E0,9.854457550E0,1.020930742E1
1.099241583E0,-2.784210205E-2,3.005749512E0,9.658365326E0,1.011530158E1
1.109279583E0,-3.059637451E-1,3.340303802E0,9.366771698E0,9.949254010E0
1.119317583E0,-5.511538696E-1,3.617078247E0,8.966653748E0,9.684415577E0
1.129356583E0,-7.788304138E-1,3.844156036E0,8.481213226E0,9.344254397E0
1.139394583E0,-8.990304565E-1,4.054768066E0,8.021668854E0,9.033082034E0
1.149432583E0,-1.039887543E0,4.233795776E0,7.573949890E0,8.739056569E0
1.159470583E0,-1.341360626E0,4.484524384E0,7.211852875E0,8.597733955E0
1.169508583E0,-1.530866547E0,4.824766846E0,6.970404968E0,8.614433987E0
1.179547583E0,-1.673519897E0,5.061574402E0,6.821165314E0,8.657280203E0
1.189585583E0,-1.747017059E0,5.209167480E0,6.786287842E0,8.731620532E0
1.199623583E0,-1.686542816E0,5.317542114E0,6.814279633E0,8.806536647E0
